A Subject URL,TIC,Num_EB_Tags,Num_Transit_Tags,Num_Sectors,Num_EB_Adjusted,Is_EB_Catlogs,_Is_EB_inner,SIMBAD_Type,SIMBAD_IsEB,ASAS-SN_Type,ASAS-SN_IsEB,VSX_Type,VSX_IsEB,TessEB_IsEB,ExoFOP URL,In ASAS-SN but not VSX,Ra,Dec,Mag_TESS,MAX_Subject_ID,MAX_Sector,Contaminatio_Ratio
30896790,349523518,3,0,1,3,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,349523518,#VALUE!,111.49461,-63.224181,10.8541,30896790,5,0.030046
41419270,363149298,3,0,1,3,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,363149298,#VALUE!,145.906592,-51.940971,9.2111,41419270,9,0.3574
48944782,367838785,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,367838785,#VALUE!,275.879598,74.168012,8.7378,48944782,26,0.011296
48943897,368260545,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,368260545,#VALUE!,265.477203,21.735783,11.5874,48943897,26,0.53465
36049659,372419506,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,372419506,#VALUE!,317.774189,-67.471764,11.0118,36049659,13,0.133848
48227275,388508344,6,0,1,6,N/A,#VALUE!,*,N/A,,No-Data,VAR,N/A,No-Data,388508344,#VALUE!,356.998914,80.564957,8.1532,48227275,25,0.003036
44568773,397058826,3,0,1,3,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,397058826,#VALUE!,189.518268,3.282395,6.33044,44568773,23,0.000716
44563169,422284103,3,0,1,3,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,422284103,#VALUE!,195.258084,8.583887,8.17123,44563169,23,2.70E-05
48942511,423027012,6,0,1,6,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,423027012,#VALUE!,260.96905,26.7495,11.7783,48942511,26,0.026895
36030879,464380201,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,464380201,#VALUE!,281.329819,-62.419214,8.6794,36030879,13,0.018644
48224154,468276605,6,0,1,6,N/A,#VALUE!,X,N/A,,No-Data,,No-Data,No-Data,468276605,#VALUE!,5.623583,80.744088,10.9109,48224154,25,0.051274
