Subject_ID|eb_like_count|transit_like_count|comment_count|tag_count_json
48218300|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#flares":3}
48218411|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48218453|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48219123|6|1|6|{"#transit":1,"like#transit":1,"#eclipsingbinary":6,"like#eclipsingbinary":6,"#tce":1}
48219564|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48221405|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48222875|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48224154|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48224556|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48225003|6|0|8|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48226208|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48227121|7|0|8|{"#eclipsingbinary":6,"like#eclipsingbinary":7,"#eclipsing-binary":1}
48227275|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#onedip":1}
48227411|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#w-shaped":1}
48227441|6|2|9|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#transits":1,"like#transit":2,"#eclipsing_binary":1,"#transit":1}
48228820|6|0|9|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48229030|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48230256|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#algol":1}
48230327|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48230435|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48230723|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48928836|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48929847|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#w-uma":1,"#contactbinary":1}
48929910|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48930609|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eclipsingbinaries":1}
48931595|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48933403|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48934888|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48935323|6|1|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#trinary":2,"#possibletransit":1,"like#transit":1}
48936188|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eclipsingbinaries":1}
48936249|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48937877|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#flares":1}
48938078|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48938125|6|2|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#interesting":1,"#possibletransit":1,"like#transit":2,"#transit":1}
48939416|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48940590|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48941862|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48942413|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48942511|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48943266|6|1|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eccentric-eb":1,"#possible_transit":1,"like#transit":1}
48943608|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48944563|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48946399|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48946848|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48947999|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48948447|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48948452|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
48948519|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#algol":1}
48950809|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#multiple":1}
28395705|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28396019|5|0|5|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28398411|5|0|5|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28401237|5|0|5|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28404107|5|1|8|{"#eclipsebinary":1,"#eclipsingbinary":5,"like#eclipsingbinary":5,"#transit":1,"like#transit":1}
28412808|5|0|7|{"#eclipsebinary":1,"#eclipsingbinary":5,"like#eclipsingbinary":5}
28413642|5|1|5|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#fast":1,"#partner":1,"#transit":1,"like#transit":1,"#trinary":1,"#researchers":1}
28418055|5|0|7|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28419118|5|0|8|{"#eclipsebinary":1,"#eclipsingbinary":5,"like#eclipsingbinary":5}
28426163|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28427497|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28427899|5|2|15|{"#eclipsebinary":1,"#eclipsingbinary":5,"like#eclipsingbinary":5,"#transit":2,"like#transit":2,"#contamination":1,"#blend":1,"#dip":1}
28429743|5|0|6|{"#eclipsebinary":1,"#eclipsingbinary":5,"like#eclipsingbinary":5}
28444125|5|0|8|{"#eclipsebinary":1,"#eclipsing":1,"#binary":1,"#eclipsingbinary":5,"like#eclipsingbinary":5}
28455457|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#eclipsing-binary":1,"#eclipsing_binary":1,"#13to14glitch":1,"#interesting":1}
28459513|5|0|6|{"#eclipsebinary":1,"#eclipsingbinary":5,"like#eclipsingbinary":5}
28461460|5|2|9|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#eclipsing":2,"#possible_transit":1,"like#transit":2,"#transits":1}
28462000|5|0|10|{"#eclipsebinary":1,"#eclipsingbinary":5,"like#eclipsingbinary":5}
28464212|5|1|6|{"#transit":1,"like#transit":1,"#eclipsingbinary":5,"like#eclipsingbinary":5,"#possible_multiplanetary":1}
28465609|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#otherbinaries":1}
28466601|5|1|8|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#transits":1,"like#transit":1}
28466612|5|1|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#transit":1,"like#transit":1,"#candidate":1,"#systematic":1}
28469321|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#eclipsing-binary":1,"#eclipsing_binary":1,"#13to14glitch":1}
28473056|5|0|5|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28474488|5|0|8|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#systematic_effect":1,"#interesting":1,"#regular":1,"#gdor":1,"#eclipsebinary":1}
28541208|5|0|7|{"#eclipse":1,"#eclipsingbinary":5,"like#eclipsingbinary":5,"#eclipsing_binary":1,"#eclipsing-binary":1}
28546799|5|6|15|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#transit":4,"like#transit":6,"#transits":2,"#possibe-transit":1}
28558154|5|1|7|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#transits":1,"like#transit":1,"#eclipsebinary":1}
28563781|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28569492|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#eclipsebinary":1}
28577588|5|1|8|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#transit":1,"like#transit":1}
28582234|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28586315|5|2|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#transits":1,"like#transit":2,"#transit":1,"#possibe-transit":1}
28591547|5|1|9|{"#multiplanetary":1,"#eclipsingbinary":5,"like#eclipsingbinary":5,"#transits":1,"like#transit":1}
28596928|5|0|7|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
28619959|5|0|5|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
29660760|5|0|8|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
29661006|5|0|5|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#variability":1}
29666960|5|0|5|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
30870826|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30871455|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30871835|3|5|7|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transits":3,"like#transit":5,"#possible":1,"#transit":1}
30874496|3|1|4|{"#tce":1,"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transit":1,"like#transit":1}
30875203|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#glitches":1}
30875209|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30875747|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30875916|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30877415|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30877813|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#eclipsing-binary":1,"#eclipsing_binary":1}
30878159|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30878162|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30878165|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30878167|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30879267|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30879269|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#eclipsing_binary":1,"#eclipsing-binary":1}
30879273|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30880130|3|1|5|{"#transit":1,"like#transit":1,"#eclipsingbinary":3,"like#eclipsingbinary":3}
30880474|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30880476|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30880479|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30880803|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30880804|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30883136|3|1|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transit":1,"like#transit":1}
30883141|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30883144|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30883217|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30883369|3|0|4|{"#eclipsingbinaries":1,"#eclipsingbinary":3,"like#eclipsingbinary":3}
30883907|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30883911|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30886106|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30886118|3|2|6|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transit":2,"like#transit":2}
30886185|3|0|5|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#close_binary":1}
30886437|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30886440|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30886754|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30886755|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30888098|3|1|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transit":1,"like#transit":1}
30888425|3|3|6|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transit":2,"like#transit":3,"#transits":1}
30888523|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30889146|3|2|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transit":2,"like#transit":2}
30891566|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30891692|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#grazingbinary":1}
30892192|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30893427|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30893432|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30893436|3|1|5|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transits":1,"like#transit":1}
30894576|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30894627|3|1|5|{"#transit":1,"like#transit":1,"#eclipsingbinary":3,"like#eclipsingbinary":3,"#binary-stars":1}
30894631|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30895629|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30895774|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30896219|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#eclipsing_binary":1,"#eclipsing-binary":1}
30896222|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30896324|3|3|6|{"#possible":1,"like#transit":3,"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transits":1,"#possibletransit":1,"#possible-transit":1,"#possible_transit":1,"#tcenotoi":1}
30896533|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30896790|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30896822|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30896964|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30896969|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30898146|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30898151|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30898226|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30899160|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30899334|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#eclipsing_binary":1}
30901930|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30901943|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30902343|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
