46313508|BD-15 1075|*|10.13|9.61||0.26|
46630964|BD+29 580|PM*|10.2|9.71|||2MASS J03363023+2953213, Cl* Melotte 25 LEID 4, Cl* Melotte 25 PELS 4, LSPM J0336+2953, AG+29 399, BD+29 580, GEN# +5.20252004, GSC 01810-00163, PPM 92658, TYC 1810-163-1, UBV M 41461, Cl Melotte 25 209, Gaia DR1 120223281441120768, Gaia DR2 120223285737143424
47352608|V* VY Sex|EB*|9.6|9.01||1.45|
47380518|CRTS J105129.6-005922|EB*||14.38||0.05|
47626069|ROTSE1 J183509.74+515310.8|EB*|11.83|11.39|||TYC 3539-1503-1, ROTSE1 J183509.74+515310.8, NSVS 3033742, 2MASS J18350998+5153164, Gaia DR1 2145306065221663744, Gaia DR2 2145306069518441728
47757785|HD 172884|BY*|9.51|8.86||1.06|
48499902|V* LU Dra|Al*|13.74|12.78|12.39||GSC 03553-01117, V* LU Dra, ROTSE1 J185901.50+522814.9, UCAC4 713-061980, Gaia DR2 2134123245991120000
48507019|BD+48 2812|Al*|10.51|10.24||0.12|
48658291|CD-25 3246|*|9.64|9.13|||2MASS J06274242-2550207, CD-25 3246, CPD-25 1450, GSC 06511-01128, PPM 250444, SAO 171793, TYC 6511-1128-1, YZ 115 3652, Gaia DR1 2923966524837863808, Gaia DR2 2923966529135941248
49534600|TYC 8744-539-2|*|10.38|9.94||0.19|
49701947|TYC 6514-1296-1|*|12.25|11.65||0.2|
49799894|BD-03 501|*|12.09|11.1||0.54|
50189810|BD+60 536|Al*|11.03|10.21||0.99|
50273697|CD-74 90A|PM*|10.26|9.87||0.87|
50758245|HD 71433|SB*|7.105|6.598||0.78|
50897998|V* VV Ori|Al*|5.16|5.34|5.39|0.03|
51024887|||||||
51155192|ASAS J071641-0526.1|EB*||12.3|||ASAS J071641-0526.1
51960132|||||||
51961599|HD 5408|**|5.5|5.566||0.42|
52280468|||||||
52641430|CD-33 3188|**|10.25|9.67||1.39|
53059882|TYC 7096-222-1|EB*|10.72|10.28|||EBLM J0650-34, 2MASS J06502908-3436177, GSC 07096-00222, TYC 7096-222-1, Gaia DR1 5579382179312078976, Gaia DR2 5579382183609585792
53178352|V* HR Leo|bL*|9.35|8.943|||AG-02 637, BD-02 3283, GSC 04924-00765, HD 96048, HIC 54156, HIP 54156, NSV 18601, PPM 178376, SAO 137977, TYC 4924-765-1, YZ 92 4207, 2MASS J11044229-0258199, V* HR Leo, UCAC2 30857778, Gaia DR1 3789694664555175808, Gaia DR2 3789694668850876160
54630229|1RXS J012253.9+630525|X||||39.43|
55269690|1RXS J050458.0-634902|Ro*|13.16|12.16||0.99|
55404385|V* AR Dor|EB*|7.45|7.05||1.11|
55451784|CD-63 159|*|10.585|10.262||0.3|
55497281|V* AL Dor|Al*|8.3|7.73||2.17|
55500860|CPD-62 385|PM*|10.91|10.06|||2MASS J04470759-6243460, CPC 20.1 1047, CPD-62 385, GSC 08880-00924, PPM 354321, SAO 249106, TYC 8880-924-1, RAVE J044707.6-624346, Gaia DR1 4665060573447212800, Gaia DR2 4665060577744420096
55524055|||||||
55652785|TYC 8881-322-1|*|11.15|10.69|||2MASS J04560610-6300078, GSC 08881-00322, TYC 8881-322-1, Gaia DR1 4665190384539413888, Gaia DR2 4665190388836439040
55659311|CPD-64 390|*|10.648|10.204||0.51|
55753802|[GGM2006] 2657877|EB*|10.54|10.047||0.44|
55999432|BD-07 859|Ro*|11.05|10.422|||2MASS J04381100-0726155, BD-07 859, GSC 04747-01155, PPM 701775, TYC 4747-1155-1, 1RXS J043811.1-072621, ASAS J043811-0726.3, Gaia DR1 3198281103870644864, Gaia DR2 3198281103870644864
56127811|V* KP Eri|Al*|9.174|8.938||0.08|
57258016|HD 151604|EB*|8.33|7.96|||AG+41 1415, BD+42 2747, GCRV 9654, GSC 03078-01427, HD 151604, HIC 82123, HIP 82123, PPM 55657, SAO 46276, TD1 19551, TYC 3078-1427-1, V* V916 Her, uvby98 100151604, 2MASS J16463549+4147322, Renson 42906, Gaia DR1 1356474916891680000, GEN# +1.00151604, WEB 13867, Gaia DR2 1356474921186845952
58467657|||||||
60479151|TYC 5959-1997-1|*|11.35|10.91||0.29|
60977396|HD 133529|*|6.66|6.66||0.28|
61490776|1RXS J151512.5-285004|X||||30.94|
61724376|TYC 7930-646-1|*|11.54|10.96||0.55|
61898904|||||||
63427664|V* LS CMa|EB*|5.471|5.635||0.11|
63451547|KIC 9220600|bL*||||0.12|
63941711|||||||
64783257|||||||
65479458|CD-26 1030|*|11.19|10.77||0.22|
66715008|BD+00 3041|EB*|11.32|10.75||1.58|
